title,genres,similarity_score
Toy Story 2 (1999),Adventure|Animation|Children|Comedy|Fantasy,0.5726012603197153
Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller,0.5656368040861562
Independence Day (a.k.a. ID4) (1996),Action|Adventure|Sci-Fi|Thriller,0.5642616935276658
Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi,0.5573881705799365
Forrest Gump (1994),Comedy|Drama|Romance|War,0.547095907940174
"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX,0.5411453494602334
Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Sci-Fi,0.5410893047725839
Mission: Impossible (1996),Action|Adventure|Mystery|Thriller,0.5389127705583576
Groundhog Day (1993),Comedy|Fantasy|Romance,0.5341687625843439
Back to the Future (1985),Adventure|Comedy|Sci-Fi,0.5303813465217206
